Rank,Site URL,token vul,secret vul,signed_request vul,referrer vul,DOM vul
2196,http://www.nbcmiami.com,1,1,1,1,1
2197,http://www.insiderpages.com,1,1,1,1,1
2199,http://www.azfamily.com,1,1,1,-1,1
2201,http://www.nikonusa.com,1,1,1,1,1
2210,http://www.courant.com,1,1,1,1,1
2222,http://www.timesdispatch.com,11,1,11,-1,-1
2223,http://www.ratemds.com,10,10,10,10,10
2228,http://www.ancientfaces.com,-1,1,-1,1,1
2233,http://www.trysensa.com,1,1,1,1,1
2254,http://www.ae.com,-1,1,-1,1,1
2255,http://www.queerty.com,2,2,2,2,2
2261,http://www.accessatlanta.com,1,1,1,1,1
2279,http://www.iwin.com,1,1,1,1,1
2294,http://www.digitalpoint.com,24,1,24,-1,-1
2298,http://www.minyanville.com,-1,1,-1,1,1
2299,http://www.artfire.com,10,10,10,10,10
2308,http://www.baseball-reference.com,1,1,1,1,1
2312,http://www.everydayfamily.com,1,1,1,1,1
2318,http://www.songkick.com,-1,1,1,1,1
2322,http://www.findthedata.org,-1,1,-1,1,1
2324,http://www.shopsocially.com,12,1,12,1,1
2338,http://www.desmoinesregister.com,12,1,12,1,1
2345,http://www.globaltestmarket.com,11,1,11,1,1
2351,http://www.voanews.com,1,1,-1,1,1
2355,http://www.katespade.com,1,1,1,1,1
2356,http://www.vevo.com,23,1,23,1,1
2359,http://www.carsdirect.com,1,1,1,1,1
2363,http://www.revolutiongolf.com,10,10,10,10,10
2372,http://www.brightlist.com,1,1,1,1,1
2386,http://www.fitbit.com,23,1,23,-1,-1
2388,http://www.wral.com,1,1,1,1,1
2395,http://www.nwitimes.com,2,2,2,2,2
2426,http://www.wnyc.org,1,1,1,1,1
2430,http://www.vladtv.com,1,1,1,1,1
2431,http://www.crocs.com,1,1,1,1,1
2447,http://www.wikimapia.org,-1,1,-1,1,1
2450,http://www.truecar.com,1,1,1,1,1
2453,http://www.ratekick.com,2,2,2,2,2
2454,http://www.animoto.com,-1,1,-1,1,1
2459,http://www.fncstatic.com,1,1,1,1,1
2467,http://www.nbcconnecticut.com,1,1,1,1,1
2471,http://www.zinio.com,1,1,1,1,1
2472,http://www.tripadvisor.it,1,1,1,1,1
2483,http://www.bestplaces.net,1,1,1,1,1
2488,http://www.omahasteaks.com,1,1,1,1,1
2493,http://www.wftv.com,1,1,1,1,1
2500,http://www.pingg.com,1,1,1,1,1
2514,http://www.skillpages.com,-1,1,-1,1,1
2515,http://www.tipjunkie.com,2,2,2,2,2
2516,http://www.thesuperficial.com,-1,1,-1,1,1
2526,http://www.addictinggames.com,1,1,1,1,1
2533,http://www.cesarsway.com,1,1,1,1,1
2534,http://www.gofundme.com,10,10,10,10,10
2535,http://www.allfreecrochet.com,-1,1,-1,1,1
2543,http://www.trustlink.org,1,1,1,1,-1
2554,http://www.ebates.com,1,1,1,1,1
2555,http://www.justia.com,3,1,3,1,1
2563,http://www.agoda.com,12,1,12,1,1
2574,http://www.topicologist.com,1,1,1,1,1
