Site URL,token vul,secret vul,signed_request vul,referrer vul,DOM vul
http://www.blip.tv,1,1,1,1,1
http://www.happyplace.com,1,1,1,1,1
http://www.yummly.com,1,1,-1,1,1
http://www.offerpop.com,23,1,23,1,1
http://www.zabasearch.com,1,1,1,1,1
http://www.syracuse.com,1,1,1,1,1
http://www.americanlanternalerts.com,1,1,1,1,1
http://www.wsbtv.com,1,1,1,1,1
http://www.bloglovin.com,23,1,23,-1,-1
http://www.americanidol.com,1,1,1,1,1
http://www.diynetwork.com,-1,1,-1,1,1
http://www.kraftrecipes.com,12,1,12,1,1
http://www.travelandleisure.com,13,1,13,1,1
http://www.pennlive.com,1,1,1,1,1
http://www.enotes.com,1,1,1,1,1
http://www.steadyhealth.com,1,1,1,1,1
http://www.getitfree.us,1,1,1,1,1
http://www.businessconsumeralliance.org,3,1,3,1,-1
http://www.ebayclassifieds.com,1,1,-1,1,1
http://www.dailyfinance.com,1,1,1,1,1
http://www.liquor.com,-1,1,-1,1,1
http://www.thesmokinggun.com,11,1,11,1,1
http://www.bhg.com,1,1,1,1,1
http://www.1saleaday.com,1,1,1,1,1
http://www.restaurant.com,1,1,1,1,1
http://www.spiegel.de,1,1,1,1,1
http://www.ninjakiwi.com,1,1,1,1,1
http://www.relish.com,1,1,1,1,1
http://www.masslive.com,1,1,1,1,1
http://www.1800flowers.com,1,1,1,1,1
http://www.made-in-china.com,1,1,1,1,-1
http://www.zvents.com,10,10,10,10,10
http://www.youbeauty.com,1,1,1,1,1
http://www.mrfood.com,-1,1,-1,1,1
http://www.redbubble.com,-1,1,-1,1,1
http://www.dreamstime.com,14,14,14,14,14
http://www.411.info,1,1,1,-1,-1
http://www.listal.com,1,1,1,1,1
http://www.discogs.com,1,1,1,-1,-1
http://www.tickets.com,10,10,10,10,10
http://www.flickriver.com,1,1,1,1,1
http://www.depositfiles.com,1,1,1,1,1
http://www.southparkstudios.com,10,10,10,10,10
http://www.rafflecopter.com,3,1,3,1,1
http://www.9gag.com,1,1,1,1,1
http://www.dealchicken.com,3,1,3,-1,-1
http://www.nbcdfw.com,1,1,1,1,1
http://www.teleflora.com,1,1,-1,-1,-1
http://www.eviesays.com,1,1,1,1,1
http://www.viator.com,1,1,1,1,1
http://www.wikidot.com,1,1,1,1,1
http://www.pjmedia.com,-1,1,-1,1,1
http://www.lockerz.com,1,1,1,1,1
http://www.theknot.com,3,1,3,1,1
http://www.ea.com,14,14,14,14,14
http://www.wajam.com,1,1,1,1,1
http://www.diabetes.org,1,1,1,-1,-1
http://www.ebags.com,1,1,1,1,1
http://www.parade.com,-1,1,1,1,1
http://www.cincinnati.com,12,1,12,1,1
http://www.mylife.com,1,1,1,1,1
http://www.ziprealty.com,1,1,1,1,1
http://www.keyingredient.com,1,1,1,-1,1
http://www.pgpartner.com,1,1,1,-1,1
http://www.badoo.com,1,1,1,1,1
http://www.businessdictionary.com,1,1,1,1,1
http://www.rent.com,1,1,1,1,-1
http://www.askubuntu.com,1,1,1,1,1
http://www.syfy.com,1,1,1,1,1
http://www.paperlesspost.com,1,1,1,1,1
http://www.flightstats.com,1,1,1,1,1
http://www.thestar.com,1,1,1,1,1
http://www.gamesgames.com,1,1,1,1,1
http://www.kinja.com,1,1,1,1,1
http://www.virtualtourist.com,1,1,1,-1,1
http://www.indystar.com,12,1,12,1,1
http://www.newspapers.com,1,1,-1,1,1
http://www.nextag.com,-1,1,-1,1,1
http://www.christianitytoday.com,1,1,1,1,1
http://www.8tracks.com,1,1,1,1,1
http://www.ngeo.com,1,1,1,1,1
http://www.entrepreneur.com,1,1,1,1,1
http://www.familybuilder.com,20,1,20,1,-1
http://www.destructoid.com,1,1,1,1,1
http://www.stipple.com,1,1,1,1,1
http://www.nbcwashington.com,1,1,1,1,1
http://www.bannersnack.com,1,1,1,1,1
http://www.flipkey.com,1,1,1,1,1
http://www.hgtvremodels.com,-1,1,-1,1,1
http://www.serverfault.com,1,1,1,1,1
http://www.phys.org,1,1,1,1,1
http://www.tvfanatic.com,1,1,1,1,1
http://www.pga.com,1,1,1,1,1
http://www.mirror.co.uk,1,1,1,1,1
http://www.wowwiki.com,1,1,1,1,1
http://www.fatwallet.com,1,1,1,1,1
http://www.lampsplus.com,10,10,10,10,10
http://www.adbutler-kaon.com,14,14,14,14,14
http://www.onekingslane.com,1,1,1,1,1
http://www.nbcbayarea.com,1,1,1,1,1
http://www.pricegrabber.com,1,1,1,-1,1
http://www.aolanswers.com,1,1,1,1,1
http://www.articlesbase.com,1,1,1,1,1
http://www.trailer.ly,1,1,1,-1,1
http://www.wyndhamrewards.com,1,1,1,1,1
http://www.fontspace.com,1,1,1,1,1
http://www.veoh.com,3,1,3,1,1
http://www.oneall.com,1,1,1,1,1
http://www.moddb.com,1,1,1,1,1
http://www.mypoints.com,1,1,1,1,1
http://www.westelm.com,1,1,1,1,1
http://www.gsn.com,1,1,1,1,1
http://www.crackberry.com,1,1,1,1,1
http://www.naturallycurly.com,1,1,1,1,1
http://www.managemylife.com,1,1,1,1,1
http://www.inquirehow.com,1,1,1,1,1
http://www.lyrster.com,1,1,-1,1,1
http://www.agame.com,1,1,1,1,1
http://www.walkscore.com,1,1,1,1,1
http://www.neoseeker.com,-1,1,1,1,1
http://www.cdbaby.com,1,1,1,1,1
http://www.nbcmiami.com,1,1,1,1,1
