Site,Reg,Clicks,Score1,VSr1,ISr1,VRr1,IRr1,FB1,Facebook1,OAuth1,login1,signin1,connect1,account1,forum1,Score2,VSr2,ISr2,VRr2,IRr2,FB2,Facebook2,OAuth2,login2,signin2,connect2,account2,forum2
http://www.sharecare.com,TRUE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,30,0,0,0,0,0,2,0,2,0,0,0,0
http://www.change.org,TRUE,2,5,0,0,0,0,0,0,0,1,0,0,0,0,50,0,0,0,0,0,4,0,2,0,0,0,0
http://www.bufferapp.com,TRUE,1,13,-1,0,-1,0,0,3,1,1,0,0,0,0,,,,,,,,,,,,,
http://www.jossandmain.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.radaris.com,FALSE,2,7,0,0,0,0,0,0,0,3,0,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0
http://www.nbclosangeles.com,TRUE,2,9,0,0,0,0,0,0,0,5,0,0,0,0,39,1,1,1,1,0,3,0,1,0,0,0,0
http://www.tiqiq.com,FALSE,1,7,0,0,0,0,0,0,0,1,2,0,0,0,,,,,,,,,,,,,
http://www.popularscreensavers.com,FALSE,1,999,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
http://www.manualsonline.com,FALSE,1,16,-1,0,-1,0,1,3,1,3,0,0,0,0,,,,,,,,,,,,,
http://www.crackle.com,FALSE,2,12,-1,0,-1,0,2,0,0,2,0,0,0,0,39,-1,0,-1,0,2,1,0,1,0,0,0,0
http://www.msedge.net,FALSE,2,5,0,0,0,0,0,0,0,0,1,0,0,0,41,0,0,0,0,0,3,0,0,2,1,0,0
http://www.icontact.com,FALSE,2,7,0,0,0,0,0,0,0,3,0,0,1,0,10,2,2,2,2,0,1,0,0,0,0,0,0
http://www.shopyourway.com,FALSE,2,6,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,0,0,1,0,0,0,1,0,0
http://www.homeadvisor.com,TRUE,2,8,-1,0,-1,0,0,0,0,4,0,0,0,0,39,-1,0,-1,0,0,3,0,1,0,0,0,0
http://www.storify.com,TRUE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,29,0,0,0,0,0,2,0,1,0,0,0,0
http://www.corporationwiki.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.motortrend.com,TRUE,2,7,0,1,1,2,0,0,0,3,0,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0
http://www.wanttt.com,TRUE,2,7,0,0,0,0,0,0,0,3,0,0,0,0,39,0,0,0,0,0,3,0,1,0,0,0,0
http://www.lumosity.com,TRUE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,1,0,2,0,0,0,0
http://www.maxpreps.com,FALSE,2,6,0,1,0,1,0,0,0,1,1,0,0,0,39,0,0,0,0,0,3,0,1,0,0,0,0
http://www.ted.com,TRUE,2,6,0,0,0,0,0,0,0,0,2,0,0,0,39,0,0,0,0,0,3,0,0,0,1,1,0
http://www.ymail.com,FALSE,1,13,0,0,0,0,1,2,0,1,1,0,0,0,,,,,,,,,,,,,
http://www.dermstore.com,TRUE,2,11,-1,0,-1,0,1,1,0,0,0,1,0,0,20,-1,4,-1,4,2,0,0,0,0,0,0,0
http://www.coupons.net,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.seniorfriendfinder.com,TRUE,1,999,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
http://www.academia.edu,FALSE,2,10,-1,0,-1,0,0,1,0,1,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0
http://www.foxsports.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.baby-gaga.com,FALSE,1,11,-1,0,-1,0,1,1,0,1,0,0,0,0,,,,,,,,,,,,,
http://www.saturday.com,FALSE,1,13,0,0,0,0,0,3,0,2,0,0,0,0,,,,,,,,,,,,,
http://www.democrats.org,TRUE,1,15,-1,0,-1,0,2,2,2,1,0,0,0,0,,,,,,,,,,,,,
http://www.imore.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.alexa.com,FALSE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,51,0,0,0,0,0,4,0,3,0,0,0,0
http://www.sun-sentinel.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.apartmentguide.com,TRUE,2,5,1,4,1,6,0,0,0,1,0,0,0,0,10,0,4,0,4,0,1,0,0,0,0,0,0
http://www.refinery29.com,FALSE,2,7,-1,0,-1,1,0,0,0,3,0,0,0,0,41,-1,1,-1,1,0,3,1,1,0,1,0,0
http://www.asus.com,TRUE,2,8,0,0,0,0,0,0,0,3,1,0,2,0,20,0,0,0,0,0,1,1,1,0,0,0,0
http://www.justin.tv,FALSE,1,14,-1,0,-1,0,1,2,0,2,0,1,0,0,,,,,,,,,,,,,
http://www.c-spanarchives.org,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.techspot.com,TRUE,2,10,-1,0,-1,0,0,0,0,6,0,0,0,0,19,-1,2,-1,2,0,1,0,1,0,0,0,0
http://www.avclub.com,TRUE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,19,0,2,0,2,1,0,0,1,0,0,0,0
http://www.davesgarden.com,TRUE,2,7,0,0,0,0,0,0,0,3,0,0,0,0,19,0,1,0,1,1,0,0,1,0,0,0,0
http://www.wwe.com,TRUE,2,7,0,0,0,0,0,0,0,1,2,0,0,0,40,0,1,0,1,0,3,0,2,0,0,0,0
http://www.circleofmoms.com,FALSE,2,5,0,0,0,0,0,0,0,1,0,0,0,0,61,0,0,0,0,4,1,0,2,0,1,0,0
http://www.godtube.com,FALSE,1,16,0,0,0,0,0,2,2,4,0,0,0,0,,,,,,,,,,,,,
http://www.aliexpress.com,TRUE,1,13,-1,0,-1,0,2,2,0,1,0,0,0,0,,,,,,,,,,,,,
http://www.lonny.com,FALSE,2,9,0,0,0,0,0,0,0,5,0,0,0,0,30,0,1,0,1,1,1,0,2,0,0,0,0
http://www.globalpost.com,FALSE,1,13,0,0,0,0,0,3,0,2,0,0,0,0,,,,,,,,,,,,,
http://www.clipix.com,FALSE,1,13,-1,0,-1,0,0,3,0,2,0,0,0,0,,,,,,,,,,,,,
